942	120114	170	1029	0.291377	0.362069
1275	133746	170	1029	0.905448	1.579268
1967	165	170	1029	0.539240	0.895238
2829	2312	170	1029	0.470140	0.675325
3023	23387	170	1029	0.470140	0.675325
3913	2830	170	1029	0.831125	1.486111
4724	353139	170	1029	0.834371	1.379257
4895	375248	170	1029	0.019206	0.137931
4985	3845	170	1029	0.997114	6.860215
5323	4089	170	1029	0.296979	0.651852
6252	53353	170	1029	0.530567	0.750000
6392	54502	170	1029	0.369944	0.688645
7419	57477	170	1029	0.291377	0.362069
7760	5936	170	1029	0.611659	1.030012
7785	5989	170	1029	0.836654	1.441176
7910	6261	170	1029	0.530567	0.750000
8643	713	170	1029	0.369823	0.741379
8662	7157	170	1029	0.989407	2.770270
8715	7273	170	1029	0.780033	1.270936
8755	7301	170	1029	0.865890	1.615385
9465	8085	170	1029	0.959535	2.035714
9571	8202	170	1029	0.865890	1.615385
9664	83637	170	1029	0.982054	3.085714
9683	83732	170	1029	0.905448	1.579268
9739	84033	170	1029	0.593749	0.841270
9925	84624	170	1029	0.865890	1.615385
9972	8471	170	1029	0.112365	0.229885
10317	8857	170	1029	0.243539	0.326019
10814	94025	170	1029	0.112365	0.229885
170	1029	942	120114	0.291377	0.362069
1275	133746	942	120114	0.931817	2.081633
1967	165	942	120114	0.377655	0.436000
2829	2312	942	120114	0.743115	1.016667
3023	23387	942	120114	0.743115	1.016667
3913	2830	942	120114	0.802797	1.240000
4724	353139	942	120114	0.773922	1.296167
4895	375248	942	120114	0.914575	2.017857
4985	3845	942	120114	0.861290	1.964286
5323	4089	942	120114	0.253862	0.332258
6252	53353	942	120114	0.993346	5.208333
6392	54502	942	120114	0.902674	1.909091
7419	57477	942	120114	0.961391	3.086420
7760	5936	942	120114	0.695773	1.125731
7785	5989	942	120114	0.452048	0.509091
7910	6261	942	120114	0.950739	2.755556
8643	713	942	120114	0.907249	1.898618
8662	7157	942	120114	0.242581	0.529032
8715	7273	942	120114	0.683566	1.060714
8755	7301	942	120114	0.925389	2.259259
9465	8085	942	120114	0.846950	1.557692
9571	8202	942	120114	0.925389	2.259259
9664	83637	942	120114	0.950739	2.755556
9683	83732	942	120114	0.339902	0.591346
9739	84033	942	120114	0.802797	1.240000
9925	84624	942	120114	0.712736	0.930769
9972	8471	942	120114	0.979332	3.490385
10317	8857	942	120114	0.999433	9.000000
10814	94025	942	120114	0.979332	3.490385
170	1029	1275	133746	0.905448	1.579268
942	120114	1275	133746	0.931817	2.081633
1967	165	1275	133746	0.768981	1.250000
2829	2312	1275	133746	0.936220	2.041667
3023	23387	1275	133746	0.406179	0.705882
3913	2830	1275	133746	0.805878	1.400000
4724	353139	1275	133746	0.565472	0.990602
4895	375248	1275	133746	0.577052	0.978261
4985	3845	1275	133746	0.354210	0.759740
5323	4089	1275	133746	0.562918	0.976744
6252	53353	1275	133746	0.885765	1.714286
